"source_desc" "sector_desc" "group_desc" "commodity_desc" "class_desc" "prodn_practice_desc" "util_practice_desc" "statisticcat_desc" "unit_desc" "short_desc" "domain_desc" "domaincat_desc" "agg_level_desc" "state_ansi" "state_fips_code" "state_alpha" "state_name" "asd_code" "asd_desc" "county_ansi" "county_code" "county_name" "region_desc" "zip_5" "watershed_code" "watershed_desc" "congr_district_code" "country_code" "country_name" "location_desc" "year" "freq_desc" "begin_code" "end_code" "reference_period_desc" "week_ending" "load_time" "Value" "CV (%)"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "01" "01" "AL" "ALABAMA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ALABAMA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 845945 "5.7"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "02" "02" "AK" "ALASKA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ALASKA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 20666 "0.4"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "04" "04" "AZ" "ARIZONA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARIZONA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 348518 "8.6"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "05" "05" "AR" "ARKANSAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARKANSAS" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 1337377 "3.8"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "06" "06" "CA" "CALIFORNIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CALIFORNIA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 1243865 "7.1"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "08" "08" "CO" "COLORADO" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "COLORADO" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 1416649 "9.0"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "09" "09" "CT" "CONNECTICUT" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CONNECTICUT" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 51145 "13.9"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "10" "10" "DE" "DELAWARE" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "DELAWARE" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 10183 "25.3"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "12" "12" "FL" "FLORIDA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "FLORIDA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 336723 "6.7"
"CENSUS" "CROPS" "FIELD CROPS" "HAY" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "AREA HARVESTED" "ACRES" "HAY - ACRES HARVESTED" "TOTAL" "NOT SPECIFIED" "STATE" "13" "13" "GA" "GEORGIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "GEORGIA" "2017" "ANNUAL" "00" "00" "YEAR" "" "2018-02-01 00:00:00" 603739 "6.7"
